Participant ID,Home - Child No School,Home - Child School,Home - University,Home - 20s,Home - 30s and 40s,Home - 50s and 60s,Home - 70+,Work - Child No School,Work - Child School,Work - University,Work - 20s,Work - 30s and 40s,Work - 50s and 60s,Work - 70+,Other - Child No School,Other - Child School,Other - University,Other - 20s,Other - 30s and 40s,Other - 50s and 60s,Other - 70+
1,0,5,0,0,2,0,0,0,9,0,0,2,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,11,0,0,5,1,1,0,1,0,0,0,0,0
8,0,1,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,24,0,0,2,0,1,0,1,0,0,0,0,0
11,0,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
13,0,4,0,0,0,1,0,0,11,0,0,17,4,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0
16,0,2,0,0,0,2,0,0,9,0,0,4,3,0,0,0,0,0,0,0,0
17,0,12,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
19,0,3,0,0,1,2,0,0,3,0,0,6,2,0,0,0,0,0,0,0,0
20,0,2,0,0,0,0,0,0,16,0,0,7,0,2,0,0,0,0,0,0,0
21,0,0,0,0,1,1,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0
22,0,0,0,0,2,1,0,0,8,0,0,4,1,0,0,0,0,0,0,0,0
23,0,8,0,0,0,0,0,0,14,0,0,4,2,0,0,0,0,0,0,0,0
24,0,0,0,0,1,1,0,0,5,0,0,2,2,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
26,0,0,0,0,3,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0
28,0,1,0,0,2,0,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,21,0,0,6,1,2,0,0,0,0,0,0,0
30,0,4,0,0,1,0,0,0,9,0,0,4,3,2,0,0,0,0,0,0,0
31,0,0,0,0,0,0,4,0,24,0,0,5,1,1,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,16,0,0,2,1,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0
36,0,4,0,0,0,1,0,0,8,0,0,4,1,0,0,0,0,0,0,0,0
37,0,0,0,0,0,1,0,0,17,0,0,2,5,1,0,0,0,0,0,0,0
38,0,11,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
39,0,3,0,0,2,1,0,0,21,0,0,6,1,2,0,0,0,0,0,0,0
40,0,0,0,0,0,0,2,0,12,0,0,7,1,0,0,0,0,0,0,0,0
41,0,12,0,0,2,2,0,0,22,0,0,2,2,0,0,1,0,0,1,1,0
42,0,3,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,0,0
43,0,3,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
44,0,18,0,0,0,0,0,0,22,0,0,3,2,0,0,0,0,0,0,0,0
45,0,3,0,0,0,0,0,0,19,0,0,2,0,1,0,0,0,0,0,0,0
46,0,3,0,0,2,2,0,0,16,0,0,2,4,0,0,1,0,0,0,0,0
47,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0
48,0,5,0,0,0,1,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0
50,0,22,0,0,1,1,1,0,15,0,0,5,0,0,0,0,0,0,0,0,0
51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,0,13,0,0,2,0,0,0,17,0,0,7,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,19,0,0,3,1,0,0,0,0,0,0,0,0
54,0,6,0,0,0,0,0,0,10,0,0,0,5,1,0,0,0,0,0,0,0
55,0,15,0,0,0,0,0,0,8,0,0,5,2,0,0,0,0,0,0,0,0
56,0,4,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0
57,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
58,0,9,0,0,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,37,0,0,6,0,1,0,1,0,0,0,0,0
60,0,0,0,0,0,0,0,0,26,0,0,2,2,0,0,0,0,0,0,0,0
61,0,2,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,0
63,0,0,0,0,0,1,0,0,14,0,0,4,3,1,0,0,0,0,0,0,0
64,0,5,0,0,0,0,0,0,14,0,0,3,4,0,0,0,0,0,0,0,0
65,0,1,0,0,2,1,0,0,21,0,0,9,2,1,0,0,0,0,0,0,0
66,0,3,0,0,3,0,2,0,24,0,0,12,1,0,0,0,0,0,0,0,0
67,0,4,0,0,1,0,0,0,15,0,0,5,0,1,0,0,0,0,0,0,0
68,0,19,0,0,7,0,0,0,17,0,0,1,1,0,0,0,0,0,0,0,0
69,0,0,0,0,1,0,0,0,22,0,0,7,2,0,0,0,0,0,0,0,0
70,0,8,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
71,0,4,0,0,3,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0
72,0,4,0,0,1,0,0,0,31,0,0,7,0,0,0,0,0,0,0,0,0
73,0,18,0,0,5,2,0,0,9,0,0,3,1,0,0,0,0,0,0,0,0
74,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,19,0,0,2,0,1,0,0,0,0,0,0,0
76,0,3,0,0,9,1,2,0,19,0,0,4,0,0,0,0,0,0,0,0,0
77,0,2,0,0,4,1,0,0,6,0,0,5,0,3,0,0,0,0,0,0,0
78,0,5,0,0,2,1,0,0,20,0,0,1,4,0,0,0,0,0,0,0,0
79,0,2,0,0,1,0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,0
80,0,2,0,0,1,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0
81,0,1,0,0,0,1,0,0,10,0,0,7,5,1,0,0,0,0,0,0,0
82,0,0,0,0,0,0,1,0,15,0,0,3,2,0,0,0,0,0,0,0,0
83,0,2,0,0,0,0,0,0,8,0,0,5,1,2,0,2,0,0,0,0,0
84,0,8,0,0,0,0,0,0,22,0,0,4,0,0,0,0,0,0,0,0,0
86,0,11,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0
87,0,3,0,0,3,1,1,0,26,0,0,7,0,1,0,0,0,0,0,0,0
88,0,20,0,0,1,0,0,0,19,0,0,3,0,2,0,0,0,0,0,0,0
89,0,4,0,0,0,0,0,0,18,0,0,2,4,1,0,0,0,0,0,0,0
90,0,11,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
91,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
92,0,2,0,0,2,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0
93,0,0,0,0,1,0,0,0,16,0,0,4,5,0,0,0,0,0,0,0,0
94,0,6,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
95,0,5,0,0,3,2,1,0,6,0,0,5,1,0,0,0,0,0,0,0,0
96,0,0,0,0,2,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0
98,0,21,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,2,0,0,3,3,1,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0
103,0,3,0,0,1,0,0,0,28,0,0,7,5,1,0,0,0,0,0,0,0
104,0,0,0,0,0,1,0,0,34,0,0,3,2,0,0,0,0,0,0,0,0
105,0,11,0,0,1,2,0,0,27,0,0,2,2,0,0,0,0,0,0,0,0
106,0,2,0,0,2,0,0,0,18,0,0,6,1,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,37,0,0,3,2,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,15,0,0,3,3,0,0,0,0,0,0,0,0
111,0,3,0,0,2,0,0,0,23,0,0,4,2,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0
114,0,5,0,0,1,1,0,0,6,0,0,4,1,0,0,0,0,0,0,0,0
115,0,1,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,6,0,0,3,2,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
120,0,2,0,0,3,1,0,0,23,0,0,3,1,0,0,0,0,0,0,0,0
124,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
125,0,4,0,0,0,2,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0
126,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
127,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0
129,0,2,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0
132,0,3,0,0,2,0,1,0,29,0,0,3,4,3,0,0,0,0,0,0,0
135,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
136,0,1,0,0,0,0,0,0,24,0,0,2,0,2,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,25,0,0,15,4,1,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,21,0,0,3,2,1,0,0,0,0,0,0,0
139,0,1,0,0,3,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0
140,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
141,0,4,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
142,0,4,0,0,1,0,1,0,4,0,0,2,2,0,0,0,0,0,0,0,0
143,0,1,0,0,1,0,0,0,17,0,0,9,2,0,0,0,0,0,0,0,0
144,0,5,0,0,5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
145,0,0,0,0,3,3,1,0,22,0,0,3,1,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,24,0,0,1,1,2,0,0,0,0,1,0,0
147,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
148,0,3,0,0,9,4,0,0,21,0,0,5,0,0,0,0,0,0,0,0,0
149,0,10,0,0,0,3,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0
150,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
152,0,1,0,0,1,2,0,0,24,0,0,6,0,0,0,0,0,0,0,0,0
154,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
155,0,3,0,0,1,2,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
156,0,10,0,0,1,0,0,0,8,0,0,4,2,1,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,12,0,0,2,2,1,0,0,0,0,0,0,0
159,0,5,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
162,0,2,0,0,0,0,0,0,5,0,0,4,2,1,0,0,0,0,0,0,0
163,0,4,0,0,1,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,0
164,0,1,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
167,0,9,0,0,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0
168,0,2,0,0,0,6,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
169,0,1,0,0,4,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
170,0,5,0,0,2,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0
171,0,1,0,0,1,0,0,0,3,0,0,2,2,1,0,0,0,0,1,0,0
172,0,3,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,0,2,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
174,0,10,0,0,1,0,0,0,30,0,0,3,0,1,0,0,0,0,0,0,0
175,0,5,0,0,3,0,0,0,22,0,0,5,0,3,0,0,0,0,0,0,0
176,0,3,0,0,3,0,0,0,7,0,0,5,5,1,0,0,0,0,0,0,0
177,0,6,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,22,0,0,4,3,1,0,0,0,0,0,0,0
180,0,4,0,0,3,1,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0
181,0,3,0,0,3,0,0,0,7,0,0,8,3,0,0,0,0,0,0,0,0
182,0,0,0,0,1,0,0,0,15,0,0,2,3,0,0,0,0,0,0,0,0
183,0,0,0,0,1,0,0,0,21,0,0,2,2,1,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
185,0,6,0,0,7,0,1,0,1,0,0,3,3,2,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,39,0,0,4,2,0,0,0,0,0,0,0,0
187,0,4,0,0,3,0,0,0,13,0,0,3,3,1,0,0,0,0,1,2,0
189,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
190,0,1,0,0,2,0,0,0,13,0,0,6,0,2,0,0,0,0,0,0,0
191,0,7,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
193,0,2,0,0,2,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
194,0,15,0,0,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
195,0,1,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0
197,0,1,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,23,0,0,3,5,2,0,0,0,0,0,0,0
199,0,6,0,0,6,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
200,0,9,0,0,3,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0
201,0,23,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
202,0,17,0,0,0,0,0,0,9,0,0,3,4,0,0,1,0,0,0,0,0
203,0,3,0,0,1,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0
204,0,2,0,0,1,0,0,0,3,0,0,2,5,1,0,0,0,0,0,0,0
205,0,8,0,0,4,0,0,0,11,0,0,0,6,0,0,1,0,0,0,0,0
206,0,14,0,0,1,0,0,0,24,0,0,4,1,1,0,0,0,0,0,0,0
207,0,1,0,0,12,4,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0
208,0,3,0,0,1,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0
209,0,1,0,0,0,0,1,0,31,0,0,2,0,0,0,0,0,0,0,0,0
210,0,1,0,0,1,0,0,0,5,0,0,6,1,0,0,0,0,0,0,0,0
211,0,2,0,0,1,0,0,0,24,0,0,5,3,0,0,0,0,0,0,0,0
212,0,7,0,0,5,1,0,0,4,0,0,3,2,0,0,0,0,0,0,0,0
213,0,23,0,0,0,0,0,0,16,0,0,4,2,0,0,0,0,0,0,0,0
214,0,4,0,0,0,0,0,0,23,0,0,5,2,1,0,0,0,0,0,0,0
215,0,7,0,0,1,1,0,0,15,0,0,3,2,0,0,0,0,0,0,0,0
216,0,1,0,0,1,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0
217,0,6,0,0,1,0,0,0,19,0,0,1,0,1,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,17,0,0,7,2,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
220,0,3,0,0,3,0,0,0,24,0,0,4,2,0,0,0,0,0,0,0,0
221,0,7,0,0,3,1,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0
222,0,33,0,0,7,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,21,0,0,8,1,0,0,0,0,0,0,0,0
224,0,7,0,0,0,0,0,0,20,0,0,1,2,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0
226,0,20,0,0,4,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0
227,0,9,0,0,1,0,0,0,28,0,0,4,2,1,0,0,0,0,0,0,0
228,0,28,0,0,9,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229,0,32,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
230,0,3,0,0,2,0,0,0,21,0,0,6,0,1,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,24,0,0,12,0,0,0,0,0,0,0,0,0
232,0,15,0,0,0,0,0,0,24,0,0,4,1,1,0,0,0,0,0,0,0
233,0,0,0,0,2,1,0,0,8,0,0,3,1,0,0,0,0,0,0,0,0
234,0,18,0,0,5,4,0,0,9,0,0,6,2,1,0,0,0,0,0,0,0
235,0,1,0,0,0,0,0,0,16,0,0,6,1,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,13,0,0,5,0,2,0,0,0,0,0,0,0
237,0,5,0,0,5,1,0,0,31,0,0,2,1,0,0,0,0,0,0,0,0
239,0,9,0,0,2,0,2,0,9,0,0,7,1,0,0,0,0,0,0,0,0
240,0,11,0,0,3,0,0,0,18,0,0,2,2,0,0,0,0,0,0,0,0
241,0,11,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,19,0,0,8,2,0,0,0,0,0,0,0,0
243,0,5,0,0,0,0,0,0,11,0,0,2,0,1,0,0,0,0,0,0,0
244,0,3,0,0,1,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0
245,0,6,0,0,1,0,0,0,27,0,0,5,2,0,0,0,0,0,0,0,0
247,0,11,0,0,0,0,0,0,13,0,0,1,1,2,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
249,0,23,0,0,4,1,0,0,12,0,0,3,0,2,0,0,0,0,0,0,0
250,0,2,0,0,1,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0
251,0,14,0,0,3,1,0,0,19,0,0,5,0,3,0,0,0,0,0,0,0
252,0,15,0,0,3,1,0,0,19,0,0,2,4,0,0,0,0,0,0,0,0
253,0,16,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0
254,0,8,0,0,1,0,0,0,28,0,0,5,3,0,0,0,0,0,0,0,0
255,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
256,0,5,0,0,3,1,1,0,3,0,0,3,0,1,0,0,0,0,0,0,0
257,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
