Participant ID,Home - Child No School,Home - Child School,Home - University,Home - 20s,Home - 30s and 40s,Home - 50s and 60s,Home - 70+,Work - Child No School,Work - Child School,Work - University,Work - 20s,Work - 30s and 40s,Work - 50s and 60s,Work - 70+,Other - Child No School,Other - Child School,Other - University,Other - 20s,Other - 30s and 40s,Other - 50s and 60s,Other - 70+
303,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
307,0,5,0,0,12,3,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0
308,0,1,0,0,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
309,0,0,0,0,1,0,0,0,15,0,0,9,8,0,0,0,0,0,0,0,0
312,0,2,0,0,2,6,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
316,0,0,0,0,3,2,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0
319,0,1,0,0,6,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0
325,0,0,0,0,1,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0
330,0,0,0,0,1,0,0,0,2,0,0,3,2,1,0,0,0,0,0,0,0
332,0,0,0,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
333,0,1,0,0,1,1,5,0,1,0,0,2,1,1,0,0,0,0,0,0,0
334,0,2,0,0,7,7,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0
335,0,4,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
336,0,4,0,0,0,6,7,0,4,0,0,2,2,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
344,0,5,0,0,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,11,0,0,1,0,1,0,30,0,0,2,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,6,0,0,0,0,0,11,10,6,0,0,0,0,0,0,0
350,0,0,0,0,2,0,0,0,3,0,0,9,2,0,0,0,0,0,0,0,0
351,0,3,0,0,8,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
360,0,2,0,0,4,11,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0
361,0,1,0,0,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,0,0,0,0,0
367,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
369,0,1,0,0,5,1,1,0,18,0,0,9,10,0,0,0,0,0,0,0,0
370,0,2,0,0,3,2,0,0,3,0,0,2,1,1,0,0,0,0,0,0,0
371,0,2,0,0,3,0,0,0,17,0,0,6,6,1,0,0,0,0,0,0,0
374,0,1,0,0,5,4,7,0,1,0,0,2,1,0,0,0,0,0,0,0,0
378,0,1,0,0,7,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
381,0,2,0,0,2,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
383,0,6,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
386,0,1,0,0,2,3,0,0,3,0,0,7,6,0,0,0,0,0,0,0,0
387,0,0,0,0,6,1,0,0,3,0,0,5,5,1,0,0,0,0,0,0,0
390,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,1,0
419,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,37,0,0,3,5,0,0,0,0,0,0,0,0
424,0,15,0,0,13,4,7,0,1,0,0,3,1,1,0,0,0,0,0,0,0
425,0,6,0,0,9,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
427,0,0,0,0,2,1,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0
429,0,7,0,0,7,2,2,0,6,0,0,2,4,0,0,0,0,0,0,0,0
430,0,6,0,0,1,5,2,0,2,0,0,3,2,0,0,0,0,0,0,0,0
439,0,0,0,0,4,2,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0
441,0,1,0,0,3,2,3,0,4,0,0,1,1,1,0,0,0,0,0,0,0
443,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0
449,0,4,0,0,1,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
457,0,3,0,0,0,5,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
464,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,31,0,0,7,7,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0
476,0,0,0,0,0,2,0,0,3,0,0,4,8,0,0,0,0,0,0,0,0
478,0,6,0,0,1,1,1,0,3,0,0,5,3,0,0,0,0,0,0,0,0
479,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
