Participant ID,Home - Child No School,Home - Child School,Home - University,Home - 20s,Home - 30s and 40s,Home - 50s and 60s,Home - 70+,Work - Child No School,Work - Child School,Work - University,Work - 20s,Work - 30s and 40s,Work - 50s and 60s,Work - 70+,Other - Child No School,Other - Child School,Other - University,Other - 20s,Other - 30s and 40s,Other - 50s and 60s,Other - 70+
301,0,1,0,0,0,2,0,0,1,0,0,8,2,0,0,0,0,0,0,0,0
302,0,1,0,0,3,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0
305,0,1,0,0,9,2,0,0,8,0,0,4,2,1,0,0,0,0,0,0,0
306,0,1,0,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
310,0,2,0,0,5,3,0,0,4,0,0,14,17,0,0,0,0,0,0,0,0
313,0,1,0,0,11,3,2,0,4,0,0,4,0,0,0,0,0,0,0,0,0
314,0,3,0,0,11,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
317,0,1,0,0,3,2,0,0,7,0,0,12,5,1,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,1,0,0,19,4,1,0,0,0,0,0,0,0
321,0,1,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
323,0,7,0,0,7,1,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0
326,0,4,0,0,6,0,1,0,0,0,0,13,6,0,0,0,0,0,0,0,0
327,0,9,0,0,5,10,4,0,9,0,0,5,2,1,0,0,0,0,0,0,0
329,0,19,0,0,2,2,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0
331,0,2,0,0,7,2,0,0,3,0,0,6,2,0,0,0,0,0,0,0,0
339,0,0,0,0,2,0,0,0,3,0,0,11,3,2,0,0,0,0,0,0,0
340,0,2,0,0,1,0,0,0,8,0,0,7,2,1,0,0,0,0,0,0,0
341,0,2,0,0,4,0,1,0,3,0,0,27,2,0,0,0,0,0,0,0,0
343,0,19,0,0,7,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0
346,0,4,0,0,6,3,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0
348,0,2,0,0,1,1,1,0,20,0,0,4,2,1,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,3,0,0,20,3,0,0,0,0,0,0,0,0
353,0,2,0,0,6,0,0,0,4,0,0,9,4,1,0,0,0,0,0,0,0
354,0,1,0,0,1,0,0,0,5,0,0,6,4,0,0,0,0,0,0,0,0
356,0,4,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,41,0,0,2,0,0,0,1,0,0,1,0,0
358,0,4,0,0,3,0,1,0,2,0,0,12,2,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0
366,0,1,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
373,0,0,0,0,1,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0
375,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
376,0,3,0,0,5,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
382,0,1,0,0,3,0,0,0,2,0,0,7,2,1,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,4,0,0,9,4,0,0,0,0,0,0,0,0
393,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,1,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,2,0,0,14,2,0,0,0,0,0,0,0,0
401,0,3,0,0,11,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
405,0,2,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
407,0,7,0,0,5,0,0,0,3,0,0,9,7,0,0,0,0,0,0,0,0
408,0,9,0,0,4,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
410,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,2,2,0,0,18,0,0,12,4,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,17,0,0,17,3,0,0,3,0,0,1,0,0
418,0,1,0,0,4,1,1,0,3,0,0,2,2,0,0,0,0,0,0,0,0
426,0,2,0,0,12,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
428,0,1,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0
431,0,0,0,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
432,0,1,0,0,3,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0
435,0,1,0,0,3,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0
436,0,4,0,0,5,5,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
440,0,4,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
442,0,0,0,0,2,3,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
445,0,5,0,0,5,2,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0
