Participant ID,Home - Child No School,Home - Child School,Home - University,Home - 20s,Home - 30s and 40s,Home - 50s and 60s,Home - 70+,Work - Child No School,Work - Child School,Work - University,Work - 20s,Work - 30s and 40s,Work - 50s and 60s,Work - 70+,Other - Child No School,Other - Child School,Other - University,Other - 20s,Other - 30s and 40s,Other - 50s and 60s,Other - 70+
322,0,1,3,0,0,0,0,0,1,26,0,4,6,2,0,0,0,0,0,0,0
324,0,5,4,0,3,0,0,0,0,4,0,3,1,0,0,0,0,0,0,1,0
355,0,0,2,0,1,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
388,0,0,3,0,5,5,1,0,1,0,0,2,1,3,0,0,0,0,0,0,0
391,0,1,16,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
392,0,0,0,0,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0
395,0,3,9,0,7,6,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0
397,0,0,9,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
402,0,2,1,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
413,0,2,23,0,7,4,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0
422,0,0,2,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
433,0,0,6,0,1,0,0,0,1,2,0,3,2,0,0,0,0,0,0,0,0
458,0,0,3,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
469,0,0,7,0,2,0,0,0,0,13,0,1,2,0,0,0,0,0,0,0,0
472,0,1,2,0,1,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0
562,0,0,2,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
614,0,0,1,0,1,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
623,0,0,8,0,3,3,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0
627,0,3,3,0,1,0,0,0,25,4,0,2,4,0,0,0,0,0,0,0,0
629,0,0,3,0,3,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0
630,0,0,6,0,0,0,0,0,5,4,0,3,0,1,0,0,0,0,0,0,0
633,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
637,0,0,1,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0
677,0,7,13,0,11,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
688,0,0,1,0,1,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0
706,0,1,15,0,2,0,0,0,2,6,0,3,1,2,0,0,0,0,0,0,0
773,0,1,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0
780,0,0,13,0,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0
782,0,1,21,0,2,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0
784,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
792,0,7,2,0,1,0,1,0,0,10,0,2,4,0,0,0,0,0,0,0,0
816,0,1,25,0,2,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
822,0,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,0,0,0,0,1,0,0,0,1,2,0,4,1,1,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,8,8,0,2,2,0,0,0,0,0,0,0,0
1143,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1144,0,2,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1257,0,0,0,0,0,0,0,0,1,6,0,1,2,0,0,0,0,0,0,0,0
1262,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0
1263,0,0,0,0,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0
1272,0,0,1,0,4,0,0,0,0,4,0,4,1,1,0,0,0,0,0,0,0
1281,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
1299,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1300,0,0,0,0,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
1310,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
1311,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1313,0,0,2,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0
1314,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1441,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
1469,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
1491,0,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0
1497,0,0,1,0,0,0,0,0,1,8,0,1,1,0,0,0,0,0,0,0,0
1517,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0
1541,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1542,0,0,5,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
1580,0,1,14,0,2,2,0,0,1,4,0,9,2,0,0,0,0,0,0,0,0
1581,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
1596,0,14,3,0,6,2,0,0,15,0,0,1,1,0,0,0,0,0,0,0,0
1597,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1604,0,3,10,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0
1635,0,0,2,0,1,2,0,0,0,9,0,2,3,0,0,0,0,0,0,0,0
1657,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0
1670,0,1,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
1673,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0
1686,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1692,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1704,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,1,1,0,0,0,0
1705,0,0,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
1709,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0
1710,0,7,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
1728,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1745,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
1746,0,0,0,0,0,0,0,0,1,5,0,3,1,1,0,0,0,0,0,0,0
1747,0,1,5,0,3,1,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0
1782,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
1783,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
1784,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1785,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1791,0,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
1876,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,0,2,3,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0
1898,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
1899,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1904,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1905,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,1,0,4,2,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0
1917,0,0,12,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,2,0,0,0,41,0,0,1,0,0,1,0,0,0,0,0
1988,0,0,4,0,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0
2008,0,3,4,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0
2060,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2073,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2089,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
2108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
2113,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
2128,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2142,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0
2148,0,0,1,0,2,1,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0
2149,0,1,2,0,1,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0
2150,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2156,0,0,4,0,2,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0
2168,0,0,2,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0
2191,0,4,9,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0
2195,0,4,5,0,0,0,0,0,1,11,0,4,2,0,0,0,0,0,0,0,0
2198,0,3,2,0,0,0,0,0,8,3,0,2,1,0,0,1,0,0,0,0,0
2200,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2220,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2224,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2245,0,2,2,0,1,0,0,0,8,6,0,2,0,0,0,0,0,0,0,0,0
2265,0,0,1,0,5,2,0,0,1,1,0,8,5,0,0,0,0,0,0,0,0
2318,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2355,0,1,2,0,3,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0
2381,0,0,1,0,2,0,0,0,1,16,0,7,0,0,0,0,0,0,0,0,0
2384,0,0,0,0,0,0,0,0,14,17,0,3,2,0,0,0,0,0,0,0,0
2436,0,0,3,0,2,0,0,0,0,13,0,5,1,0,0,0,0,0,0,0,0
2450,0,0,3,0,2,1,0,0,1,11,0,5,0,0,0,0,0,0,0,0,0
2453,0,1,4,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0
2474,0,1,1,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0
2481,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0
2492,0,0,1,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
2510,0,0,0,0,0,0,0,0,14,12,0,19,8,2,0,0,0,0,0,0,0
2594,0,2,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2597,0,1,2,0,6,1,0,0,4,11,0,1,1,1,0,0,0,0,0,1,0
2601,0,3,5,0,8,2,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0
2628,0,0,2,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,0,0
2707,0,0,1,0,0,0,0,0,8,1,0,3,2,0,0,0,0,0,0,0,0
2713,0,3,8,0,3,3,0,0,4,11,0,2,3,1,0,0,0,0,0,0,0
2735,0,0,4,0,3,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0
2747,0,0,7,0,0,0,0,0,1,4,0,5,0,0,0,0,0,0,0,0,0
2766,0,1,2,0,4,0,0,0,2,14,0,9,2,0,0,0,1,0,0,0,0
2768,0,0,1,0,0,0,0,0,3,22,0,2,3,0,0,1,0,0,0,0,0
2790,0,1,17,0,5,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0
2792,0,3,7,0,2,0,0,0,2,4,0,6,0,0,0,0,0,0,0,0,0
2793,0,3,3,0,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
2798,0,1,3,0,2,1,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0
2805,0,0,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2855,0,0,0,0,0,1,0,0,5,4,0,6,2,0,0,0,0,0,0,0,0
2869,0,0,11,0,2,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0
2883,0,0,5,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2919,0,20,10,0,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0
2967,0,0,0,0,0,0,0,0,11,5,0,3,0,0,0,0,0,0,0,0,0
2996,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3010,0,0,0,0,0,2,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0
3025,0,2,4,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
3034,0,0,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3106,0,3,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
